reference_transcriptions,generated_transcriptions
the girl had a cat, The girl had a cat.
and and and let went up up the tree, and went up the tree.
and a man was caught by the dog in a tree when the cat, And a man was caught by the dog in a tree with a cat.
the firemen got the cat and dog, The fireman got the cat and dog.
yes, Yes.
okay, Okay.
cinderella was a a a a a a a beautiful princess but her stepsisters came and made her do work all the time, Cinderella was a beautiful princess. But her champ sisters came and made her do work all the time.
and she she got a invitation to to the ball but the stepsisters tore it said she she couldn't go, And she got an invitation to the ball. But the stepsister said she couldn't go.
and she the the oh the godmother, and uh... ship and uh... uh... the not
so it it and she she came in and and fixed her cinderella's dress," So, and she came in and fixed the Cinderella dress."
and she hadta be home by midnight, And she had to be home by midnight.
and she lost one shoe, And she lost one shoe.
and so she hadta get out of of of the room she was locked in because the stepsisters would were trying to to try the shoe on, And so she had to get out of the room she was locked in because the stepsisters were trying to try the shoe on.
and and the the mice helped her out get out, And the mice helped her get out.
and oh she tried the shoes on and and it fit, and she tried the shoes on and it fit.
and the prince married her, and the prince married her.
peanut butter on one side and jelly on another one, peanut butter on one side and jelly on another one.
put them together, Put them together.
and cut them up, Encouragement.
and what, I'm one.
walking, walking
yes, Yes.
yeah, Yeah.
yes, Mmm... yes.
i'm i i'm i'm walking, I'm walking.
no, No.
well i i," Well, I don't know."
i didn't hafta do it, I didn't have to do it.
and i didn't hafta do it, And I didn't have to do it.
walking," Ooh, a fin."
i didn't hafta do it, Hmm. I didn't have to do it.
and i didn't hafta do it walking, And I didn't have to do it walking.
no i didn't hafta do it, have to do it.
they're walk of walking, The walk of walking.
they're walk, You know what?
we have, I'm still here.
it's a walk of walking, I was supposed to walk a walking.
mhm, Mm-hmm.
they walking, There's water in there.
mhm, Hmm.
yeah, Yeah.
okay, Okay.
yeah, Yeah.
with a walk of walking, with the walk of walking.
mhm, Mm-hmm.
okay mhm, Hmm?
yeah, Yeah.
yeah, Yeah.
mhm, Mm-hmm.
mhm, Tell me the story.
yeah, Yeah.
yeah, Yeah.
mhm yeah, Mm-hmm. Yeah. Yeah.
one, I'm...
yeah but i," Mmm, yeah."
yes, Yeah.
it's the the walk of the walking, I did the walk up and walk in.
yeah, Yeah.
the of walking, me walking
you don't hafta do it," Um, you don't have to do it."
mhm yeah yeah, Yeah.
walk and walking," You know, I'm going to go ahead and..."
the the walk of walking and, Do you like walking?
yeah, you
some days it's better than other, Some days it's better than others.
and it's better in the afternoon early afternoon," And it's better in the afternoon, early afternoon."
so it hasta do with fatigue, So it has to do with fatigue.
so i can usually communicate one way or another, So I can usually communicate one way or another.
i believe it's twelve ol five ol seven, I believe it's 12-05-07.
i was sitting in the chair as usual, I was sitting in the chair as usual
and i noticed visual changes that would come and go, And I noticed visual changes that would come and go.
and then i discovered that i was confused off and on on, And then I discovered that I was confused off and on.
and i delayed a long time a few hours," And I delayed a long time, I guess, a few hours."
called my wife, I called my wife.
and i could barely get the phone number out, and I could barely get the phone number out
so, So.
language pathologists, language
i've read children's books including doctor seuss," I've read children's books, including Dr. Seuss."
and i do crosswords, And I do crosswords.
and sort of tonguetwister sentences, and sort of tongue twister sentences.
and speaking out loud on with the tonguetwisters tonguetwisters, and speaking out loud with the
and the reading out loud at home, and reading out loud at home.
we like to go to fishing to red feather lakes, We like to go fishing to Red Feather Lakes.
with my mom, with my mom.
and caught a few, and bought a few
oh it's a a long drive from fort collins, It's a long drive from Fort Collins.
northern up the mountain to about twelve thousand feet," going up the mountain to about I think 12,000 feet"
nice little alpine alpine lakes with brown trout and rainbows, nice little alpine lakes with brown trout and rainbows.
and we caught a few, And we caught a few.
and they tasted really good, And that tasted really good.
so you just want me to look at it to start with, So you just want me to look at it to start with?
are you ready for me, Are you ready for me?
well the boy kicked a soccer ball into the window," Well, the boy kicked a soccer ball into the window."
it, and broke it.
and the ball came through the window, and the ball came through the window
and the man was alarmed, And the man was alarmed.
and he looked out the hole in the window and had the ball in his hand, And he looked out the hole in the window and had the ball in his hand.
the mother wanted the son to take an umbrella, The mother wanted the son to take an umbrella
the boy didn't wanna, The boy didn't want to.
the boy went to school," He's a boy, went to school."
and the it started raining, and it started raining.
and then he was upset because he was wet, And then he was upset because he was wet.
and came home wet, and came home wet.
and his mother was displeased, And his mother was displeased.
and the next day the boy will or sometime will use the umbrella," And the next day the boy, or sometime, will use the umbrella."
the the cat went up into the tree, the cat went up into the tree
apparently couldn't get out, Apparently couldn't get out.
the little girl was crying, The little girl was crying.
the the dad used a ladder to get up in the tree to get the cat, The dad used the ladder to get up in the tree to get the cat.
and the ladder fell down, and the ladder fell down.
and the dad was stuck in the tree, and the dad was stuck in the tree
and the firemen came to rescue him, and the firemen came.
the girl was stuck in rising water, The girl was stuck in rising water.
and the rescuer is holding on, and the rescuer is holding on
